"start_typeName","start_depthzone","start_alongshorezone","end_typeName","end_depthzone","end_alongshorezone","typeName","id","parentID","origID","time","horizPos1","horizPos2","vertPos","track","alive","age","ageInStage","number","size","weight","temperature","salinity"
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",12,"benthic.juvenile",8144,8144,8144,"1997-09-14 08:00:00",-152.40985,57.94281,34.88151,"-152.40985:57.94281:-34.88151;","true",255.83333,0,600,42.00893,0,9.48668,32.22589
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",12,"benthic.juvenile",8144,8144,8144,"1997-09-14 08:20:00",-152.40985,57.94281,34.88151,"-152.40985:57.94281:-34.88151;-152.40985:57.94281:-34.88151;","false",255.84722,0.01389,600,42.00893,0,9.48668,32.22589
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",8,"benthic.juvenile",8168,8168,8168,"1997-09-12 19:00:00",-152.22317,58.90058,36.81483,"-152.22317:58.90058:-36.81483;","true",254.29167,0,600,42.00893,0,9.35438,32.08943
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",8,"benthic.juvenile",8168,8168,8168,"1997-09-12 19:20:00",-152.22317,58.90058,36.81483,"-152.22317:58.90058:-36.81483;-152.22317:58.90058:-36.81483;","false",254.30556,0.01389,600,42.00893,0,9.35438,32.08943
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",8,"benthic.juvenile",8193,8193,8193,"1997-09-18 00:20:00",-153.37139,56.40967,49.67314,"-153.37139:56.40967:-49.67314;","true",259.51389,0,600,43.7355,0,9.36794,32.54662
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",8,"benthic.juvenile",8193,8193,8193,"1997-09-18 00:40:00",-153.37139,56.40967,49.67314,"-153.37139:56.40967:-49.67314;-153.37139:56.40967:-49.67314;","false",259.52778,0.01389,600,43.7355,0,9.36794,32.54662
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",12,"benthic.juvenile",8204,8204,8204,"1997-09-13 05:40:00",-152.33542,58.95163,47.742,"-152.33542:58.95163:-47.742;","true",254.73611,0,600,42.10239,0,8.85303,32.11563
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",12,"benthic.juvenile",8204,8204,8204,"1997-09-13 06:00:00",-152.33542,58.95163,47.742,"-152.33542:58.95163:-47.742;-152.33542:58.95163:-47.742;","false",254.75,0.01389,600,42.10239,0,8.85303,32.11563
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",10,"benthic.juvenile",8267,8267,8267,"1997-09-12 21:20:00",-147.42848,60.21225,33.67211,"-147.42848:60.21225:-33.67211;","true",254.38889,0,600,42.00893,0,11.49152,31.57229
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",10,"benthic.juvenile",8267,8267,8267,"1997-09-12 21:40:00",-147.42848,60.21225,33.67211,"-147.42848:60.21225:-33.67211;-147.42848:60.21225:-33.67211;","false",254.40278,0.01389,600,42.00893,0,11.49152,31.57229
